PlantID,PlantName,SoilTextureID,PHRangeID,OrganicMatterID,SalinityLevelID,ZoneID,HumidityID,PlantTypeID,PHRange,SoilType,UnifiedZone,TemperatureStartRange,TemperatureEndRange,PlantType,SoilTexture,Classification,OrganicMatterContent,SalinityLevel,Classification_Salinity,PlantVarietyName
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Little Gem
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Looseleaf
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Oak Leaf
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Crisphead
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Red Leaf Lettuce
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Iceberg
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Butterhead
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Romaine
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Frisée
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Radicchio
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Lollo Rosso
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Wild Lettuce
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Green Leaf
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Buttercrunch
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Celtuce
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Tango
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Endive
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Mâche (Lamb’s Lettuce)
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Tat Soi
2,Lettuce,3.0,4,3.0,1.0,10.0,3.0,1.0,6.1 - 6.5,Slightly Acidic,10.0,30.0,40.0,Vegetable,Loamy Soil,Moderate,Moderate (2% - 4%),< 2,Non-Saline,Watercress
